,Energy_Generated_KWh,Temperature_C,apparent_zenith,azimuth,poa_global
2012-05-02,12.278814138768652,25.878833000027,97.47062421942658,72.20403574714123,1364.3126820854059
2012-05-03,12.446286843890045,26.21045713388168,97.36573936665147,71.92446368789365,1382.920760432227
2012-05-04,11.345904542990397,31.161734854730618,97.2640014316938,71.64863896875613,1260.6560603322662
2012-05-05,11.648244937646682,25.70203239335472,97.16546754257232,71.37662108533846,1294.249437516298
2012-05-06,12.808839505813758,26.59040925968894,97.07019385671897,71.10846828562057,1423.2043895348618
2012-05-07,11.359470951966541,29.210437282436413,96.97823468952693,70.84423951628742,1262.1634391073935
2012-05-08,11.734019014395985,27.167490185800624,96.88964165314009,70.58399622668543,1303.7798904884428
2012-05-09,12.623750427306671,25.54695057662683,96.80446273387143,70.32780337270736,1402.638936367408
2012-05-10,12.14097008773107,29.018341711885498,96.72274125123377,70.07572941729143,1348.9966764145634
2012-05-11,11.513667937946051,25.784118063118466,96.64451476539854,69.82784564091679,1279.2964375495612
2012-05-12,12.066445107617685,24.77315700174097,96.56981412596687,69.58422529985876,1340.7161230686315
2012-05-13,12.380342259778795,24.026885302397844,96.49866289085693,69.3449430087386,1375.5935844198661
2012-05-14,12.12472351836417,24.875935627792867,96.43107725085324,69.11007439125711,1347.1915020404633
2012-05-15,12.331129891504794,25.59256922596326,96.36706640893486,68.87969583444448,1370.1255435005326
2012-05-16,11.417409850697087,25.931149867745226,96.30663323975675,68.65388419693323,1268.6010945218986
2012-05-17,11.70196335347641,22.439973587155855,96.24977502000063,68.43271646673514,1300.2181503862678
2012-05-18,11.521245788245064,24.7716897179989,96.19648408307106,68.21626946173058,1280.138420916118
2012-05-19,12.026261139794547,28.080538526198833,96.1467483428185,68.00461965001278,1336.2512377549497
2012-05-20,12.667557720263877,27.940974506231573,96.10055167233602,67.79784310224312,1407.5064133626531
2012-05-21,12.07313512580041,26.441040433702362,96.05787415668942,67.59601553972584,1341.4594584222677
2012-05-22,12.217112515594263,28.02672849367892,96.01869225196161,67.39921243383708,1357.4569461771403
2012-05-23,12.055761488048967,28.106661790583356,95.98297891144149,67.20750910385112,1339.5290542276632
2012-05-24,11.281549519657046,27.150076948207122,95.95070379066519,67.02098073220304,1253.5055021841163
2012-05-25,12.013240318048869,26.604945841276567,95.92183362129401,66.83970222271557,1334.8044797832076
2012-05-26,12.09415145482382,25.183667861309033,95.8963328106204,66.66374787333513,1343.7946060915356
2012-05-27,11.869875332072795,29.33775300206331,95.8741642500005,66.49319090107758,1318.875036896977
2012-05-28,12.634470388618618,26.14422602465585,95.85529025480902,66.32810287242478,1403.8300431798466
2012-05-29,12.574407260685982,21.83293749481102,95.83967351676458,66.16855305145566,1397.1563622984427
2012-05-30,12.163696706876385,27.31099258896515,95.8272779026897,66.01460766581471,1351.5218563195983
2012-05-31,12.098385740508352,23.753752798077766,95.8180689384183,65.86632917744947,1344.265082278706
2012-06-01,12.2379031350439,29.807412204588704,95.81201386306341,65.72377581229262,1359.7670150048777
2012-06-02,11.96062621750158,30.301858812699265,95.80908125106743,65.58700168828119,1328.9584686112867
2012-06-03,13.094525450427897,26.762909904869833,95.80924034772468,65.45605772499118,1454.9472722697662
2012-06-04,11.673217839954003,24.15668785670511,95.8124602971128,65.33099315857532,1297.0242044393335
2012-06-05,12.361459512440742,22.50569960470197,95.8187093713743,65.21185712768323,1373.4955013823046
2012-06-06,12.251837224553626,21.906900340947043,95.82795417321982,65.09869971199447,1361.315247172625
2012-06-07,11.581604282395283,30.58085675788771,95.84015869492421,64.99157208687006,1286.8449202661425
2012-06-08,11.524992759205707,26.124841195054728,95.85528320663362,64.89052591523676,1280.5547510228562
2012-06-09,11.549339905494719,25.081500069229918,95.87328312252683,64.79561243555924,1283.259989499413
2012-06-10,12.213655430848608,23.22017639612722,95.89410812644604,64.70688171521141,1357.0728256498453
2012-06-11,11.97177960119585,22.349511520901622,95.91770179840677,64.62438227515281,1330.1977334662056
2012-06-12,12.151031391833156,25.884607160189216,95.94400178828391,64.54816099003472,1350.114599092573
2012-06-13,11.809549376291999,23.584907037694006,95.97294038404078,64.47826303970623,1312.1721529213332
2012-06-14,11.485140113702807,26.676316201284,96.00444522752188,64.41473177758024,1276.1266793003117
2012-06-15,12.127665668817285,25.996768178408455,96.03843999932333,64.35760854299383,1347.518407646365
2012-06-16,10.82637430608938,23.689201605575334,96.0748449932101,64.30693253378996,1202.9304784543756
2012-06-17,12.467296476123298,26.022731320302505,96.11357755522795,64.26274081803882,1385.2551640136999
2012-06-18,11.426701435091276,19.91991271631379,96.15455239232011,64.2250684624945,1269.6334927879195
2012-06-19,12.283139039363341,21.48835110724544,96.1976817485714,64.19394870564008,1364.7932265959269
2012-06-20,11.985977989435275,21.914262038434458,96.24287552117111,64.16941310671967,1331.775332159475
2012-06-21,12.090811086643281,26.12128180463075,96.29004144248958,64.1514916349036,1343.4234540714758
2012-06-22,11.598966411379026,20.332446090050656,96.3390854540054,64.14021266964886,1288.7740457087807
2012-06-23,11.751815982437716,26.585927612223482,96.389912348702,64.13560286246735,1305.7573313819685
2012-06-24,12.43848111729461,24.558514490749857,96.44242665237459,64.1376868197375,1382.0534574771789
2012-06-25,11.795322878735524,27.09592157517857,96.49653366396682,64.14648660771877,1310.5914309706138
2012-06-26,12.120578926710154,24.74980887903475,96.55214056296275,64.16202113597393,1346.7309918566837
2012-06-27,12.312427349172182,29.14039999567477,96.60915745619025,64.18430551744922,1368.0474832413533
2012-06-28,11.741126191297823,24.537916638418753,96.66749822742162,64.21335051363167,1304.5695768108692
